Poll	Date	Sample	MoE	Rep	Dem	Spread	State	Year	Senate	Final_Margin
Monmouth	8/27 - 8/30	404 LV	4.9	41	54	Feingold +13	WI	2016	0	13
Monmouth	10/15 - 10/18	403 LV	4.9	44	52	Feingold +8	WI	2016	0	13
Marquette	8/4 - 8/7	683 LV	5	39	50	Feingold +11	WI	2016	0	13
Marquette	7/7 - 7/10	665 LV	4.5	40	46	Feingold +6	WI	2016	0	13
Marquette	10/6 - 10/9	878 LV	3.9	44	46	Feingold +2	WI	2016	0	13
Marquette	8/25 - 8/28	650 LV	5	42	45	Feingold +3	WI	2016	0	13
Marquette	10/26 - 10/31	1225 LV	3.5	44	45	Feingold +1	WI	2016	0	13
Marquette	9/15 - 9/18	677 LV	4.8	39	44	Feingold +5	WI	2016	0	13
Final Results	--	--	--	50.2	46.8	Johnson +3.4	WI	2016	0	3.4
Susquehanna*	10/4 - 10/9	764 LV	3.5	42	38	Toomey +4	PA	2016	0	1.6
Susquehanna	10/31 - 11/1	681 LV	3.8	41	47	McGinty +6	PA	2016	0	1.6
Susquehanna	7/31 - 8/4	772 LV	3.5	40	42	McGinty +2	PA	2016	0	1.6
Suffolk University	7/25 - 7/27	500 LV	4.4	36	43	McGinty +7	PA	2016	0	1.6
RCP Average	10/29 - 11/4	--	--	43	45	McGinty +2.0	PA	2016	0	1.6
Quinnipiac	10/27 - 11/1	612 LV	4	47	48	McGinty +1	PA	2016	0	1.6
Quinnipiac	7/30 - 8/7	815 RV	3.4	44	47	McGinty +3	PA	2016	0	1.6
Quinnipiac	10/10 - 10/16	660 LV	3.8	49	45	Toomey +4	PA	2016	0	1.6
Quinnipiac	8/31 - 9/7	778 LV	3.5	46	45	Toomey +1	PA	2016	0	1.6
Quinnipiac	4/27 - 5/8	1077 RV	3	45	44	Toomey +1	PA	2016	0	1.6
Quinnipiac	9/27 - 10/2	535 LV	4.2	50	42	Toomey +8	PA	2016	0	1.6
Quinnipiac	6/8 - 6/19	950 RV	3.2	49	40	Toomey +9	PA	2016	0	1.6
Quinnipiac	6/30 - 7/11	982 RV	3.1	49	39	Toomey +10	PA	2016	0	1.6
Quinnipiac	3/30 - 4/4	1737 RV	2.4	47	38	Toomey +9	PA	2016	0	1.6
Quinnipiac	8/7 - 8/18	1085 RV	3	48	32	Toomey +16	PA	2016	0	1.6
Quinnipiac	9/25 - 10/5	1049 RV	3	51	31	Toomey +20	PA	2016	0	1.6
PPP (D)*	6/22 - 6/23	980 RV	3.1	40	39	Toomey +1	PA	2016	0	1.6
PPP (D)	7/29 - 7/31	1505 LV	2.5	42	41	Toomey +1	PA	2016	0	1.6
PPP (D)	5/30 - 6/1	835 RV	3.4	42	38	Toomey +4	PA	2016	0	1.6
PPP (D)	10/8 - 10/11	1012 RV	3.1	43	36	Toomey +7	PA	2016	0	1.6
NY Times/Siena	10/23 - 10/25	824 LV	3.4	44	47	McGinty +3	PA	2016	0	1.6
NBC/WSJ/Marist	10/3 - 10/6	709 LV	3.7	44	48	McGinty +4	PA	2016	0	1.6
NBC/WSJ/Marist	8/3 - 8/7	834 RV	3.4	44	48	McGinty +4	PA	2016	0	1.6
NBC/WSJ/Marist	7/5 - 7/10	829 RV	3.4	44	47	McGinty +3	PA	2016	0	1.6
Morning Call	10/30 - 11/4	405 LV	5.5	43	42	Toomey +1	PA	2016	0	1.6
Morning Call	10/20 - 10/26	420 LV	5.5	41	41	Tie	PA	2016	0	1.6
Morning Call	9/12 - 9/16	486 LV	5	38	41	McGinty +3	PA	2016	0	1.6
