,Poll,Date,Sample,MoE,Rep,Dem,Spread,State,Year,Senate ,adj_Rep,adj_Dem,margin
0,RCP Average,9,--,--,45.2,47.6,Nelson +2.4,FL,2018,0,45.2,47.6,2.4
1,Mason-Dixon,9,815 LV,3.5,46,47,Nelson +1,FL,2018,0,46,47,1
2,WCTV-TV,9,800 LV,3.5,44,45,Nelson +1,FL,2018,0,44,45,1
3,Quinnipiac,9,888 LV,4,46,53,Nelson +7,FL,2018,0,23,26.5,7
4,UNF,9,603 LV,4,45,45,Tie,FL,2018,0,45,45,0
5,NBC News/Marist,9,600 LV,4.7,45,48,Nelson +3,FL,2018,0,45,48,3
6,Florida Atlantic University,9,850 LV,3.3,42,41,Scott +1,FL,2018,0,42,41,-1
7,Rasmussen Reports,9,800 LV,3.5,44,45,Nelson +1,FL,2018,0,22,22.5,1
8,SurveyUSA,9,634 LV,5.3,46,44,Scott +2,FL,2018,0,46,44,-2
9,Quinnipiac,8,785 LV,4.3,49,49,Tie,FL,2018,0,24.5,24.5,0
10,Gravis,8,1225 LV,2.8,47,47,Tie,FL,2018,0,47,47,0
11,Florida Atlantic University,8,800 RV,3.4,45,39,Scott +6,FL,2018,0,45,39,-6
12,Mason-Dixon,7,625 LV,4,47,44,Scott +3,FL,2018,0,47,44,-3
13,Florida Atlantic University,7,800 RV,3.4,44,40,Scott +4,FL,2018,0,44,40,-4
14,Gravis,7,1840 LV,2.3,43,47,Nelson +4,FL,2018,0,43,47,4
15,CBS News/YouGov,6,839 LV,--,46,41,Scott +5,FL,2018,0,23,20.5,-5
16,NBC News/Marist,6,947 RV,3.9,45,49,Nelson +4,FL,2018,0,45,49,4
17,FL Chamber,5,605 LV,4,48,45,Scott +3,FL,2018,0,48,45,-3
18,Florida Atlantic University,5,1000 RV,3,44,40,Scott +4,FL,2018,0,44,40,-4
19,Gravis,2,2212 LV,2.1,40,44,Nelson +4,FL,2018,0,40,44,4
20,Quinnipiac,2,1156 RV,3.6,42,46,Nelson +4,FL,2018,0,21,23,4
21,Gravis,2,1978 RV,2.2,40,44,Nelson +4,FL,2018,0,40,44,4
22,UNF,1,429 LV,4.7,42,48,Nelson +6,FL,2018,0,42,48,6
23,Mason-Dixon,1,625 RV,4,44,45,Nelson +1,FL,2018,0,44,45,1
24,Mason-Dixon,1,625 LV,4,44,44,Tie,FL,2018,0,44,44,0
25,UNF,1,706 LV,3.4,36,37,Nelson +1,FL,2018,0,36,37,1
26,FL Chamber,9,615 LV,--,47,45,Scott +2,FL,2018,0,47,45,-2
27,Florida Atlantic University,8,800 LV,4,40,42,Nelson +2,FL,2018,0,40,42,2
28,Gravis,4,1243 RV,2.8,28,56,Nelson +28,FL,2018,0,28,56,28
29,RCP Average,9/29 - 10/5,--,--,45.3,45,McSally +0.3,AZ,2018,0,45.3,45,-0.3
30,ABC 15/OH Predictive Insights,10/1 - 10/2,600 LV,4,47,41,McSally +6,AZ,2018,0,47,41,-6
31,CBS News/YouGov,10/2 - 10/5,898 LV,--,44,47,Sinema +3,AZ,2018,0,22,23.5,3
32,FOX News,9/29 - 10/2,716 LV,3.5,45,47,Sinema +2,AZ,2018,0,22.5,23.5,2
33,Suffolk*,9/27 - 9/30,500 LV,4.4,42,45,Sinema +3,AZ,2018,0,42,45,3
34,Emerson*,9/19 - 9/21,650 RV,4.4,39,45,Sinema +6,AZ,2018,0,39,45,6
35,NBC News/Marist,9/16 - 9/20,564 LV,4.7,45,48,Sinema +3,AZ,2018,0,45,48,3
36,CNN,9/11 - 9/15,761 LV,4.3,43,50,Sinema +7,AZ,2018,0,43,50,7
37,FOX News,9/8 - 9/11,710 LV,3.5,44,47,Sinema +3,AZ,2018,0,22,23.5,3
38,ABC 15/OH Predictive Insights,9/5 - 9/6,597 LV,4,49,46,McSally +3,AZ,2018,0,49,46,-3
39,Gravis,9/5 - 9/7,882 LV,5.3,49,48,McSally +1,AZ,2018,0,49,48,-1
40,ABC 15/OH Predictive Insights,7/23 - 7/25,600 LV,4,44,48,Sinema +4,AZ,2018,0,44,48,4
41,Gravis,6/27 - 7/2,925 LV,3.2,39,43,Sinema +4,AZ,2018,0,39,43,4
42,Emerson,6/21 - 6/22,650 RV,4,32,40,Sinema +8,AZ,2018,0,32,40,8
43,NBC News/Marist,6/17 - 6/21,839 RV,4.5,38,49,Sinema +11,AZ,2018,0,38,49,11
44,CBS News/YouGov,6/19 - 6/22,869 LV,--,37,45,Sinema +8,AZ,2018,0,18.5,22.5,8
45,ABC 15/OH Predictive Insights,4/10 - 4/11,600 LV,4,42,48,Sinema +6,AZ,2018,0,42,48,6
46,OH Predictive Insights,11/9 - 11/9,600 LV,4,45,46,Sinema,AZ,2018,0,45,46,1
47,RCP Average,8/26 - 10/16,--,--,43.7,40.7,x,IN,2018,0,43.7,40.7,-3
48,Gravis,10/12 - 10/16,377 LV,5.1,44,40,x,IN,2018,0,44,40,-4
49,FOX News,9/29 - 10/2,695 LV,3.5,43,41,x,IN,2018,0,21.5,20.5,-2
50,FOX News,9/8 - 9/11,677 LV,3.5,43,45,x,IN,2018,0,21.5,30,8.5
51,NBC News/Marist,8/26 - 8/29,576 LV,5,44,41,x,IN,2018,0,44,49,5
52,RCP Average,9/10 - 10/7,--,--,37.5,53.8,Stabenow +16.3,MI,2018,0,37.5,53.8,16.3
53,Mitchell Research,9/30 - 10/7,654 LV,3.8,42,51,Stabenow +9,MI,2018,0,42,51,9
54,Detroit News/WDIV-TV,9/30 - 10/2,600 LV,4,35,53,Stabenow +18,MI,2018,0,35,53,18
55,EPIC-MRA,9/21 - 9/25,600 LV,4,33,56,Stabenow +23,MI,2018,0,33,56,23
56,Mitchell Research,9/12 - 9/13,1009 LV,3,41,54,Stabenow +13,MI,2018,0,41,54,13
57,Target-Insyght/MIRS,9/10 - 9/14,800 LV,3,40,55,Stabenow +15,MI,2018,0,40,55,15
58,Detroit News/WDIV-TV,9/5 - 9/7,600 LV,4,33,56,Stabenow +23,MI,2018,0,33,56,23
59,Gravis,8/14 - 8/16,647 LV,3.9,35,51,Stabenow +16,MI,2018,0,35,51,16
60,Emerson,7/19 - 7/21,202 LV,7.3,29,47,Stabenow +18,MI,2018,0,29,47,18
61,NBC News/Marist,7/15 - 7/19,886 RV,3.9,37,55,Stabenow +18,MI,2018,0,37,55,18
62,Detroit News/WDIV-TV,1/16 - 1/19,600 LV,4,30,51,Stabenow +21,MI,2018,0,30,51,21
63,RCP Average,8/17 - 10/4,--,--,37.8,47.5,Smith +9.7,MN,2018,0,37.8,47.5,9.7
64,NBC News/Marist,9/30 - 10/4,637 LV,4.9,38,54,Smith +16,MN,2018,0,38,54,16
65,Star Tribune/Mason-Dixon,9/10 - 9/12,800 LV,3.5,37,44,Smith +7,MN,2018,0,37,44,7
66,KSTP/SurveyUSA,9/6 - 9/8,574 LV,4.9,39,48,Smith +9,MN,2018,0,39,48,9
67,Suffolk*,8/17 - 8/20,500 LV,4.4,37,44,Smith +7,MN,2018,0,37,44,7
68,Emerson,8/8 - 8/11,500 LV,4.6,28,32,Smith +4,MN,2018,0,28,32,4
69,NBC News/Marist,7/15 - 7/19,876 RV,4,35,49,Smith +14,MN,2018,0,35,49,14
70,RCP Average,9/11 - 10/2,--,--,46.3,45.8,Hawley +0.5,MZ,2018,0,46.3,45.8,-0.5
71,FOX News,9/29 - 10/2,683 LV,3.5,46,46,Tie,MZ,2018,0,23,23,0
72,CNN*,9/25 - 9/29,756 LV,4.3,44,47,McCaskill +3,MZ,2018,0,44,47,3
73,Missouri Scout*,9/26 - 9/27,1555 LV,2.5,48,46,Hawley +2,MZ,2018,0,48,46,-2
74,Trafalgar Group (R),9/11 - 9/13,1724 LV,2.4,47,44,Hawley +3,MZ,2018,0,47,44,-3
75,CBS News/YouGov,9/10 - 9/14,917 LV,--,45,45,Tie,MZ,2018,0,22.5,22.5,0
76,FOX News,9/8 - 9/11,675 LV,3.5,45,45,Tie,MZ,2018,0,22.5,22.5,0
77,NBC News/Marist,8/25 - 8/28,568 LV,4.8,47,47,Tie,MZ,2018,0,47,47,0
78,Missouri Scout*,8/8 - 8/9,1785 LV,2.3,47,47,Tie,MZ,2018,0,47,47,0
79,Remington Research (R),7/7 - 7/8,1034 LV,3.2,48,46,Hawley +2,MZ,2018,0,48,46,-2
80,Missouri Scout*,5/9 - 5/10,898 LV,3.3,44,48,McCaskill +4,MZ,2018,0,44,48,4
81,Emerson,4/26 - 4/29,600 LV,4.2,45,45,Tie,MZ,2018,0,45,45,0
82,Missouri Scout*,4/19 - 4/20,1542 LV,2.5,44,48,McCaskill +4,MZ,2018,0,44,48,4
83,Mason-Dixon,4/4 - 4/6,625 RV,4,44,45,McCaskill +1,MZ,2018,0,44,45,1
84,Gravis,3/5 - 3/7,931 RV,3.2,40,42,McCaskill +2,MZ,2018,0,40,42,2
85,Remington Research (R),1/3 - 1/4,1122 LV,2.9,49,45,Hawley +4,MZ,2018,0,49,45,-4
86,Remington Research (R),10/11 - 10/12,965 LV,3.1,48,45,Hawley +3,MZ,2018,0,48,45,-3
87,Remington Research (R),8/16 - 8/18,922 LV,3,50,45,Hawley +5,MZ,2018,0,50,45,-5
